dict_id,sheet_name,column_name,data_type,allowed_values,description,required,primary_key,foreign_key_to,example_value
dict_000001,readme,field,string,,Column field in readme.,True,True,,
dict_000002,readme,value,string,,Column value in readme.,False,False,,
dict_000003,taxonomy,taxonomy_id,string,,Column taxonomy_id in taxonomy.,True,True,,
dict_000004,taxonomy,parent_taxonomy_id,string,,Column parent_taxonomy_id in taxonomy.,False,False,,
dict_000005,taxonomy,taxonomy_type,string,,Column taxonomy_type in taxonomy.,False,False,,
dict_000006,taxonomy,level_scope,string,,Column level_scope in taxonomy.,False,False,,
dict_000007,taxonomy,code,string,,Column code in taxonomy.,False,False,,
dict_000008,taxonomy,display_name,string,,Column display_name in taxonomy.,False,False,,
dict_000009,taxonomy,description,string,,Column description in taxonomy.,False,False,,
dict_000010,taxonomy,sort_order,string,,Column sort_order in taxonomy.,False,False,,
dict_000011,taxonomy,active,string,,Column active in taxonomy.,False,False,,
dict_000012,references,reference_id,string,,Column reference_id in references.,True,True,,
dict_000013,references,source_type,string,,Column source_type in references.,False,False,,
dict_000014,references,organisation,string,,Column organisation in references.,False,False,,
dict_000015,references,title,string,,Column title in references.,False,False,,
dict_000016,references,edition_or_year,string,,Column edition_or_year in references.,False,False,,
dict_000017,references,section_or_page_if_known,string,,Column section_or_page_if_known in references.,False,False,,
dict_000018,references,jurisdiction,string,,Column jurisdiction in references.,False,False,,
dict_000019,references,authority_level,string,,Column authority_level in references.,False,False,,
dict_000020,references,last_verified,string,,Column last_verified in references.,False,False,,
dict_000021,references,licence_note,string,,Column licence_note in references.,False,False,,
dict_000022,references,source_url,string,,Column source_url in references.,False,False,,
dict_000023,modules,module_id,string,,Column module_id in modules.,True,True,,
dict_000024,modules,taxonomy_id,string,,Column taxonomy_id in modules.,False,False,,
dict_000025,modules,level,string,,Column level in modules.,False,False,,
dict_000026,modules,module_type,string,,Column module_type in modules.,False,False,,
dict_000027,modules,title,string,,Column title in modules.,False,False,,
dict_000028,modules,short_summary,string,,Column short_summary in modules.,False,False,,
dict_000029,modules,recommended_order,string,,Column recommended_order in modules.,False,False,,
dict_000030,modules,est_minutes,string,,Column est_minutes in modules.,False,False,,
